decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,Anduril Industries,Senior Software Engineer - Connected Factory,https://jobright.ai/jobs/info/6a307953093df201d07b1a8f,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,cloud_swe,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
later,Cogent Communications,"SQL & PHP Developer - Washington, DC",https://jobright.ai/jobs/info/6a9011cad96ad228f125f5ad,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,cloud_swe,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
later,Guidehouse,Data Engineer,https://jobright.ai/jobs/info/6aa08477ea127c3794697a1c,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,data_ml,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
skip,Jane Street,"Campus Recruiter, Machine Learning And Quantitative Research",https://jobright.ai/jobs/info/6aa2aa2d89c0049f1182c23e,jobright_matches,,,,,2026-09-10T13:02:42+00:00,,,high,"non_target_role: recruiter title, not SWE/data/ML.",board_fields,n/a,,,,,,
later,Lockheed Martin,Software Engineer - E2,https://jobright.ai/jobs/info/6a8dbb54581f2d7bfdfe8986,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,cloud_swe,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
later,NetJets,Software Engineer (NJUS),https://jobright.ai/jobs/info/6a99a6c6551435518ebf01c3,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,cloud_swe,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
skip,Personal,Programa De Referidos - Software Developer Detalles Del Puesto | Telecomarg,https://jobright.ai/jobs/info/6aa2a86fdc6eda1eafd323a7,jobright_matches,,,,,2026-09-10T13:02:42+00:00,,,high,"non_target_role: referral-program / telecom listing, not a US SWE/ML role.",board_fields,n/a,,,,,,
later,Plaid,Senior Data Engineer - Data Engineering,https://jobright.ai/jobs/info/6a99060188f60a5ece658e6c,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,data_ml,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
later,"Ross Stores, Inc.",Engineer II,https://jobright.ai/jobs/info/6a4699328204a812e98c92b2,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,cloud_swe,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
later,Sony Interactive Entertainment,Senior Data Scientist -  Experimentation & Measurement,https://jobright.ai/jobs/info/6a53153a9fbdab22fe13e2f9,jobright_matches,,,,,2026-09-10T13:02:42+00:00,broad,data_ml,low,fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal.,board_fields,program_end,,,,,,
