company,role,url,source,track,category,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Astranis Space Technologies,Senior Software Engineer - Enterprise Systems,https://jobright.ai/jobs/info/6a3d6eee122f340d29cf0879,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
BAE Systems,Senior Level Full Stack Application Developer,https://jobright.ai/jobs/info/6a8ca6422f736c304f2a706c,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
Mentor Technical Group,Human Resources Associate (Temporary Position) - Entry Level,https://jobright.ai/jobs/info/6a6b24c757120971bf3a514e,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
SpaceX,"Application Software Engineer, Internal Systems",https://jobright.ai/jobs/info/6a9f338268f82b403673c72a,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
"Steampunk, Inc.",Senior Software Engineer,https://jobright.ai/jobs/info/6a7b09c4bc05d77f2bddc5d8,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
Varda Space Industries,Space Mission Software Engineer II,https://jobright.ai/jobs/info/6a9f26b368f82b403673c571,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
Wayve,"Full-Stack Software Engineer, Model Development Platform",https://jobright.ai/jobs/info/6a8cb0e02f736c304f2a75e5,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
West Monroe,Software Engineer- Tech Ex AI Assets Foundry Team,https://jobright.ai/jobs/info/6a4f01909469c0662034d2a3,jobright_matches,,,2026-09-07,2026-09-07T22:04:00+00:00,,,,,,,jobright_matches_scrape
Allied HOA Partners,"Internship: Software Engineer/ Data Science (Fall 2026, La Jolla/ San Diego Area)",https://jobright.ai/jobs/info/6a9f195968f82b403673c33c,intern_list,internship_if_eligible,swe,2026-09-07,2026-09-07T22:05:01+00:00,1 hour ago,"San Diego, CA",On Site,1-10,"1. designed for college students in the La Jolla, San Diego area who are able to commute to our office. 2. Outside-the-box thinking. You don’t just complete the task in front of you. Ask whether there’s a smarter way to do it, and you’re eager to test your ideas rather than wait for permission. 3. Self-direction. Excellent attention to detail and the ability to work independently in an unstructured, fast-paced environment with minimal hands-on oversight. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;category=swe;cluster_hint=cloud_swe;posted=1 hour ago
American Express,"Campus Graduate Masters Summer Internship Program - 2027 Software Engineer, Enterprise Technology Services- Charlotte, NC",https://jobright.ai/jobs/info/6a82a01bb5a0ac0e84a21aca,intern_list,internship_if_eligible,swe,2026-09-07,2026-09-07T22:05:01+00:00,4 hours ago,"Charlotte, NC",Hybrid,10000+,"1. • Currently enrolled in a full-time graduate master's degree program 2. • Graduate master's degree candidates with an expected graduation date between December 2027 and June 2028. 3. • Demonstrated experience through coursework, projects, research, or extracurricular activities using one or more programming languages such as Java, JavaScript, Python, C#, Go, Kotlin, or similar technologies. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;category=swe;cluster_hint=cloud_swe;posted=4 hours ago
