decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
skip,Athena Security Inc.,Technical Product Marketer,https://jobright.ai/jobs/info/6a9dda8ec1d6f91bc38864bb,jobright_matches,,,,,2026-09-06T22:03:55+00:00,,,high,"non_target_role: technical product marketer, not SWE/data/ML.",board_fields,n/a,,,,,,
later,AutoZone,Sr. System Engineer - (ABAP/BTP),https://jobright.ai/jobs/info/6a57e66f9f1f56462cf67308,jobright_matches,,,,,2026-09-06T22:03:55+00:00,broad,cloud_swe,low,"fit_priority: senior SAP ABAP/BTP systems engineer on a public Jobright homepage card (Matches session unavailable); too senior and off-cluster. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Base-2 Solutions,Senior Software Engineer,https://jobright.ai/jobs/info/6a9ddc1075edfa11b470ff6c,jobright_matches,,,,,2026-09-06T22:03:55+00:00,broad,cloud_swe,low,fit_priority: Senior software engineer on a public homepage card; too senior for new-grad. work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
skip,Calendly,"Staff Product Manager, AI Scheduling",https://jobright.ai/jobs/info/6a6e63becd3bac13d370728b,jobright_matches,,,,,2026-09-06T22:03:55+00:00,,,high,"non_target_role: staff product manager, not SWE/data/ML.",board_fields,n/a,,,,,,
later,Cloudflare,"Senior Infrastructure Engineer, Storage Platform",https://jobright.ai/jobs/info/6a5cbf10c8e3a473cb8b2dc9,jobright_matches,,,,,2026-09-06T22:03:55+00:00,broad,cloud_swe,low,fit_priority: senior infrastructure engineer (storage platform) on a public homepage card; too senior for new-grad. work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
skip,Databricks,"Sr. Product Designer, AI/BI",https://jobright.ai/jobs/info/6a53e93ec8eb0843027ae2b4,jobright_matches,,,,,2026-09-06T22:03:55+00:00,,,high,"non_target_role: product designer, not SWE/data/ML.",board_fields,n/a,,,,,,
keep,IMC Trading,Graduate Software Engineer,https://jobright.ai/jobs/info/6a4556f7c2d11a6a46668d9b,jobright_matches,,,,,2026-09-06T22:03:55+00:00,core,cloud_swe,medium,"fit_priority: graduate software engineer (new-grad SWE). work_model/location blank on Matches card — evidence incomplete, not assumed remote.",board_fields,program_end,,,none,,,Greenhouse imc has two exact Graduate Software Engineer reqs (Chicago 4818790101 and Aarhus 4917773101). Matches card location is blank. Left unresolved.
later,Lennox,ECommerce Sr Developer,https://jobright.ai/jobs/info/6a74c8c520b26a6e93f48d64,jobright_matches,,,,,2026-09-06T22:03:55+00:00,practice,cloud_swe,low,fit_priority: senior ecommerce developer on a public homepage card; senior + weaker cluster fit. work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
later,Medilinkers LLC,Senior Growth Engineer,https://jobright.ai/jobs/info/6a9ddb572c964816f65eb601,jobright_matches,,,,,2026-09-06T22:03:55+00:00,practice,cloud_swe,low,fit_priority: senior growth engineer on a public homepage card; growth-leaning and senior. work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
later,NRECA,Sr Advisor Software Developer,https://jobright.ai/jobs/info/6a9dc59a68f82b4036738327,jobright_matches,,,,,2026-09-06T22:03:55+00:00,broad,cloud_swe,low,fit_priority: senior advisor software developer on a public homepage card; too senior. work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
