decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,Alphabet Inc.,Machine Learning Engineer,https://jobright.ai/jobs/info/6a638b298d53603449602cba,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,data_ml,low,"fit_priority: public Jobright homepage card (Matches session unavailable). work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
skip,Appco Group North America,Summer Internship With Appco Group US / HR & Recruitment,https://jobright.ai/jobs/info/6a9c7a9c68f82b40367364fd,jobright_matches,,,,,2026-09-05T22:10:16+00:00,,,high,"non_target_role: HR / recruitment internship, not SWE/ML.",board_fields,n/a,,,,,,
later,Boot Barn,Supply Chain Systems Developer,https://jobright.ai/jobs/info/6a79ceb067a1ad0bc53cff31,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,cloud_swe,low,fit_priority: supply-chain systems developer on a public homepage card; work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
skip,DRB Homes,Marketing Intern (2064),https://jobright.ai/jobs/info/6a9c7f2a68f82b403673669d,jobright_matches,,,,,2026-09-05T22:10:16+00:00,,,high,"non_target_role: marketing intern, not SWE/ML.",board_fields,n/a,,,,,,
later,Ever,Software Engineer,https://jobright.ai/jobs/info/6a9c907975edfa11b470e473,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,cloud_swe,low,"fit_priority: generic software engineer on a public homepage card; work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Jump Trading,Campus Data Engineer (Intern),https://jobright.ai/jobs/info/6a4ec9ca0ea38951a6ff47ce,jobright_matches,,,,,2026-09-05T22:10:16+00:00,core,data_ml,low,intern_ok + fit_priority: campus data-engineer intern; cycle year not on the card — later rather than keep.,board_fields,program_end,,,,,,
skip,"Modern Technology Solutions, Inc. (MTSI)",Data Analyst - Active Secret Clearance Required,https://jobright.ai/jobs/info/6a9c5cb4dacf777321a8dfb2,jobright_matches,,,,,2026-09-05T22:10:16+00:00,,,high,hard_gate: active Secret clearance required (not viable).,board_fields,n/a,,,,,,
later,Munich Re Automation Solutions,Data Product Owner,https://jobright.ai/jobs/info/6a9c92a62c964816f65e9b6c,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,data_ml,low,"fit_priority: data product owner, not SWE/ML IC. work_model/location blank — evidence incomplete.",board_fields,program_end,,,,,,
later,Raytheon,Software Engineer II - Tewksbury / Woburn,https://jobright.ai/jobs/info/6a9a7b9d6c308f08f89c5f0b,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,cloud_swe,low,fit_priority: Software Engineer II looks mid-level; work_model/location blank — evidence incomplete.,board_fields,program_end,,,,,,
later,Sigma,Data Engineer,https://jobright.ai/jobs/info/6a6247a51e089c0cc884b8fb,jobright_matches,,,,,2026-09-05T22:10:16+00:00,core,data_ml,low,"fit_priority: data engineer on a public homepage card; work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Xevo Inc.,(111) Software Development Engineer,https://jobright.ai/jobs/info/6a9c7a2875edfa11b470dec6,jobright_matches,,,,,2026-09-05T22:10:16+00:00,broad,cloud_swe,low,"fit_priority: public homepage card; work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Akoncagua AI,AI/ ML Engineer Intern,https://jobright.ai/jobs/info/6a9c2c2468f82b4036735e76,intern_list,internship_if_eligible,On Site,"Lakeland, FL",7 hours ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,"intern_ok + fit_priority: AI/ML intern, Lakeland on-site, but unknown shop and no 2027 cycle on the card — later.",board_fields,program_end,,,,,,
later,"Argmax, Inc.",On-device AI Frameworks Engineer (Intern),https://jobright.ai/jobs/info/6a3edc60882f121f56a3bab8,intern_list,internship_if_eligible,Hybrid,"Palo Alto, CA; New York, NY",14 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,medium,intern_ok + fit_priority: related SWE/ML intern but no explicit 2027 term on the board card — do not infer cycle.,board_fields,program_end,,,,,,
later,Barclays,2027 Technology Cyber & Security Summer Internship Program Whippany,https://jobright.ai/jobs/info/6a9c363275edfa11b470d9c2,intern_list,internship_if_eligible,On Site,"Hanover, NJ",4 hours ago,2026-09-05T22:11:34+00:00,broad,cloud_swe,medium,"intern_ok + fit_priority: 2027 cyber/security summer intern (adjacent cyber → later, not auto-skip).",board_fields,program_end,,,,,,
skip,Berkeley Industrial Engineering & Operations Research,Supply Chain Intern at HD Supply,https://jobright.ai/jobs/info/6a9c212675edfa11b470d8a5,intern_list,internship_if_eligible,On Site,"Indianapolis, IN",11 hours ago,2026-09-05T22:11:34+00:00,,,high,"non_target_role: supply-chain intern, not SWE/ML.",board_fields,n/a,,,,,,
skip,Binary App Developers,Internship: Full-Stack Developer,https://jobright.ai/jobs/info/6a9c79a0c1d6f91bc38843d9,intern_list,internship_if_eligible,Remote,United States,1 hour ago,2026-09-05T22:11:34+00:00,,,high,remote: fully remote / remote-only on board work_model.,board_fields,n/a,,,,,,
skip,ByteDance,Research Intern (AI Infra Compute) - 2027 Start (PhD),https://jobright.ai/jobs/info/6a9bba15dacf777321a8d363,intern_list,internship_if_eligible,On Site,"San Jose, CA",15 hours ago,2026-09-05T22:11:34+00:00,,,high,hard_gate: PhD-only title on board text.,board_fields,n/a,,,,,,
later,Chase,2027 Data & AI Program - Summer Internship - Analyst - United States,https://jobright.ai/jobs/info/6a8c76bf25fc4e7ae3db8752,intern_list,internship_if_eligible,On Site,"Chicago, IL; New York metropolitan area, United States; Columbus, OH; Plano, TX; Palo Alto, CA",1 day ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,"fit_priority + intern_ok: 2027 data/AI program titled analyst, not SWE/ML engineer.",board_fields,program_end,,,,,,
keep,Citadel,Sector Data Scientist – 2027 Intern (US),https://jobright.ai/jobs/info/6a7a308fbb6ca93ae561a556,intern_list,internship_if_eligible,On Site,"New York, NY",16 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 sector data-scientist intern.,board_fields,program_end,,,none,,,
keep,Clera,Founding Engineer Intern,https://jobright.ai/jobs/info/6a7cd7f5a346cb6c8d5f05cb,intern_list,internship_if_eligible,On Site,"San Francisco, CA",2 hours ago,2026-09-05T22:11:34+00:00,core,cloud_swe,medium,"intern_ok + fit_priority: founding engineer intern, San Francisco on-site. No 2026 cycle on the card.",board_fields,program_end,,,none,,,agency board; multiple same titles. Left unresolved; do not add Clera to careers_boards.yaml.
later,Crowe,Data Consultant Intern,https://jobright.ai/jobs/info/6a7f63bae2030208f276daaa,intern_list,internship_if_eligible,On Site,"Chicago, IL",13 hours ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,"fit_priority: data consultant intern, not SWE/ML.",board_fields,program_end,,,,,,
later,Crowe,Machine Learning Intern,https://jobright.ai/jobs/info/6a7f6419e2030208f276db06,intern_list,internship_if_eligible,On Site,"Chicago, IL; Washington, DC; Tallahassee, FL; Sarasota, FL; Hartford, CT; Nashville, TN; Costa Mesa, CA; San Jose, CA; Atlanta, GA; Boston, MA; Burlington, VT; Cleveland, OH; Columbus, OH; Dallas, TX; Denver, CO; Fort Lauderdale, FL; Fort Wayne, IN; Grand Rapids, MI; Indianapolis, IN; Knoxville, TN; Lexington, KY; Livingston, NJ; Plano, TX; Louisville, KY; Los Angeles, CA; Miami, FL; The Woodlands, TX; New York, NY; Oakbrook Terrace, IL; Sacramento, CA; San Francisco, CA; South Bend, IN; Springfield, IL; Tampa, FL; Houston, TX; Austin, TX; Charlotte, NC",12 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,medium,intern_ok + fit_priority: related SWE/ML intern but no explicit 2027 term on the board card — do not infer cycle.,board_fields,program_end,,,,,,
skip,CyOpsPath,Software Intern,https://jobright.ai/jobs/info/6a9c665dc1d6f91bc38842be,intern_list,internship_if_eligible,Remote,United States,3 hours ago,2026-09-05T22:11:34+00:00,,,high,remote: fully remote / remote-only on board work_model.,board_fields,n/a,,,,,,
later,Fab2,Embedded Software Engineering Intern - Summer,https://jobright.ai/jobs/info/6a9c4ea575edfa11b470db8d,intern_list,internship_if_eligible,On Site,"Austin, TX; San Francisco, CA",1 hour ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,medium,intern_ok + fit_priority: embedded SWE intern (summer; 2026 summer already over). Weaker cluster fit than infra/ML.,board_fields,program_end,,,,,,
later,Fab2,Fab Software Engineering Intern - Summer,https://jobright.ai/jobs/info/6a9c4ea12c964816f65e926a,intern_list,internship_if_eligible,On Site,"Austin, TX; San Francisco, CA",1 hour ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,medium,intern_ok + fit_priority: fab/chip SWE intern. Adjacent hardware; later not keep.,board_fields,program_end,,,,,,
keep,Fab2,Infrastructure Software Engineering Intern - Summer,https://jobright.ai/jobs/info/6a9c4f0ca7ba386c5d66e34a,intern_list,internship_if_eligible,On Site,"Austin, TX; San Francisco, CA",1 hour ago,2026-09-05T22:11:34+00:00,core,cloud_swe,medium,"intern_ok + fit_priority: infrastructure SWE intern, Austin/SF on-site. Summer term with 2026 summer already over.",board_fields,program_end,,https://jobs.ashbyhq.com/fab2/53f3fe23-9d2d-4eef-bd28-968d011f86c7,exact,ashby,Infrastructure Software Engineering Intern - Summer,title overlap 1.00 on ashby board 'fab2' (57 postings)
